original,standardisation_1,standardisation_1_reason,standardisation_2,standardisation_2_reason
Melastromataceae/Sapotaceae,remove,uncertainty greater than family level,remove,uncertainty greater than family level
MELIACEAE,Meliaceae,,Meliaceae,
Meliaceae,Meliaceae,,Meliaceae,
Meliaceae/ Sapotaceae,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Melicope,Melicope,,Melicope,
Melicytus,Melicytus,,Melicytus,
Melochia,Melochia,,Melochia,
MENISPERMACEAE  Type,Menispermaceae,removed notation,remove,uncertainty greater than family level
Meryta,Meryta,,Meryta,
Metrosideros,Metrosideros,,Metrosideros,
Metroxylon,Metroxylon,,Metroxylon,
Metroxylon vitiense,Metroxylon vitiense,,Metroxylon vitiense,
Microsorum,Microsorum,,Microsorum,
Momordica comp.,Momordica,removed notation,Cucurbitaceae,aggregated up
Monolete echinate,remove,uncertain type,remove,uncertain type
Monolete Other,remove,uncertain type,remove,uncertain type
Monolete psilate,remove,uncertain type,remove,uncertain type
Monolete Psilate,remove,uncertain type,remove,uncertain type
Monolete Psilate Large,remove,uncertain type,remove,uncertain type
Monolete Psilate Medium,remove,uncertain type,remove,uncertain type
Monolete Psilate Small,remove,uncertain type,remove,uncertain type
Monolete spore undif.,remove,uncertain type,remove,uncertain type
Monolete spores,remove,uncertain type,remove,uncertain type
Moraceae,Moraceae,,Moraceae,
Moraceae/Urticaceae,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Moraceae/Urticaceae undif.,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Morinda comp.,Morinda,removed notation,Rubiaceae,aggregated up
Muehlenbeckia,Muehlenbeckia,,Muehlenbeckia,
Mussaenda,Mussaenda,,Mussaenda,
Myoporum,Myoporum,,Myoporum,
Myoporum rapense,Myoporum rapense,,Myoporum rapense,
Myriophyllum,Myriophyllum,,Myriophyllum,
Myristica,Myristica,,Myristica,
Myrsina sp.,Myrsine,spelling and removed notation,Myrsine,spelling
MYRSINACEAE,Primulaceae,synonym,Primulaceae,synonym
Myrsine,Myrsine,,Myrsine,
Myrsineaceae,Primulaceae,synonym,Primulaceae,synonym
Myrtaceae,Myrtaceae,,Myrtaceae,
Myrtaceae (type 1),Myrtaceae,removed notation,Myrtaceae,removed notation
Myrtaceae (type 2),Myrtaceae,removed notation,Myrtaceae,removed notation
Myrtaceae (type 3),Myrtaceae,removed notation,Myrtaceae,removed notation
Myrtaceae (type 4),Myrtaceae,removed notation,Myrtaceae,removed notation
Myrtaceae undif.,Myrtaceae,removed notation,Myrtaceae,removed notation
Myrtaceae undiff.,Myrtaceae,removed notation,Myrtaceae,removed notation
NCSS32 Type,remove,uncertain type,remove,uncertain type
NC-SS-32 Type,remove,uncertain type,remove,uncertain type
Neocallitropsis,Callitris,synonym,Callitris,synonym
Neomyrtus-type,Neomyrtus,removed notation,Myrtaceae,aggregated up
Neonauclea,Neonauclea,,Neonauclea,
Neonauclea comp.,Neonauclea,removed notation,Rubiaceae,aggregated up
Neonauclea Type?,Neonauclea,removed notation,Rubiaceae,aggregated up
Neonauclea</i> Type?,Neonauclea,removed notation,Rubiaceae,aggregated up
Nepenthes,Nepenthes,,Nepenthes,
Nertera</i> Type,Nertera,removed notation,Rubiaceae,aggregated up
Nestegis,Nestegis,,Nestegis,
Neuburgia,Neuburgia,,Neuburgia,
Nothofagus,Nothofagus,,Nothofagus,
Nymphoides,Nymphoides,,Nymphoides,
Nymphoides comp.,Nymphoides,removed notation,Menyanthaceae,aggregated up
Nymphoides indica,Nymphoides indica,,Nymphoides indica,
Olacaceae 6p triangle,Olacaceae,removed notation,Olacaceae,removed notation
Oleaceae,Oleaceae,,Oleaceae,
Olearia colensoi,Macrolearia colensoi,synonym,Macrolearia colensoi,synonym
Omalanthus,Homalanthus,synonym,Homalanthus,synonym
Onagraceae,Onagraceae,,Onagraceae,
Ophioglossum,Ophioglossum,,Ophioglossum,
Ophiorrhiza,Ophiorrhiza,,Ophiorrhiza,
Orchidaceae,Orchidaceae,,Orchidaceae,
Other,remove,uncertain type,remove,uncertain type
Other Malvaceae,Malvaceae,removed notation,Malvaceae,removed notation
Other Monolete Ferns,remove,uncertain type,remove,uncertain type
OTHER MYRTACEAE,Myrtaceae,removed notation,Myrtaceae,removed notation
Other PANDANACEAE,Pandanaceae,removed notation,Pandanaceae,removed notation
OTHER PODOCARPACEAE,Podocarpaceae,removed notation,Podocarpaceae,removed notation
Other Trilete Ferns,remove,uncertain type,remove,uncertain type
Other.1,remove,uncertain type,remove,uncertain type
Oxalis,Oxalis,,Oxalis,
Paesia,Paesia,,Paesia,
Palaquium,Palaquium,,Palaquium,
Palmae,Arecaceae,synonym,Arecaceae,synonym
Palms,Arecaceae,synonym,Arecaceae,synonym
Pandandus tectorius,Pandanus tectorius,spelling,Pandanus tectorius,spelling
Pandandus tectorius Type,Pandanus tectorius,spelling and removed notation,Pandanus,spelling and aggregated up
Pandanus,Pandanus,,Pandanus,
Pandanus krauelianis Type,Pandanus krauelianus,spelling and removed notation,Pandanus,aggregated up
Pandanus krauliensis Type,Pandanus krauelianus,spelling and removed notation,Pandanus,spelling and aggregated up
Pandanus sp.,Pandanus,removed notation,Pandanus,removed notation
Pandanus tectorius,Pandanus tectorius,,Pandanus tectorius,
Pandanus</i> Type,Pandanus,removed notation,Pandanaceae,aggregated up
Paplionaceae,Fabaceae,synonym,Fabaceae,synonym
Parasponia,Trema,synonym,Trema,synonym
Parinari,Parinari,,Parinari,
Parinari comp.,Parinari,removed notation,Chrysobalanaceae,aggregated up
Parsonsia,Parsonsia,,Parsonsia,
PASSIFLORACEAE Type,Passifloraceae,removed notation,remove,uncertainty greater than family level
Pellaea,Hemionitis,synonym,Hemionitis,synonym
Pemphis comp.,Pemphis,removed notation,Lythraceae,aggregated up
Phaleria,Phaleria,,Phaleria,
Phlegmariurus varius,Huperzia varia,synonym,Huperzia varia,synonym
Phormium,Phormium,,Phormium,
Phyllanthaceae,Phyllanthaceae,,Phyllanthaceae,
Phyllanthus,Phyllanthus,,Phyllanthus,
Phyllanthus Type,Phyllanthus,removed notation,Phyllanthaceae,aggregated up
Phyllocladus,Phyllocladus,,Phyllocladus,
Phytolaccaceae,Phytolaccaceae,,Phytolaccaceae,
Pinaceae,Pinaceae,,Pinaceae,
Pinus,Pinus,,Pinus,
Piper,Piper,,Piper,
Piperaceae,Piperaceae,,Piperaceae,
PIPERACEAE Type,Piperaceae,removed notation,remove,uncertainty greater than family level
Pisonia,Pisonia,,Pisonia,
Pisonia comp.,Pisonia,removed notation,Nyctaginaceae,aggregated up
Pittosporum,Pittosporum,,Pittosporum,
Pittosporum ?,Pittosporum,removed notation,Pittosporaceae,aggregated up
Planchonella,Planchonella,,Planchonella,
Planchonella Type,Planchonella,removed notation,Sapotaceae,aggregated up
Plantago,Plantago,,Plantago,
Plantago comp.,Plantago,removed notation,Plantaginaceae,aggregated up
Plantago id lanceolata comp.,Plantago lanceolata,removed notation,Plantago,aggregated up
Plerandra,Plerandra,,Plerandra,
POACEAE,Poaceae,,Poaceae,
Poaceae,Poaceae,,Poaceae,
Poaceae &gt;70 um,Poaceae,removed notation,Poaceae,removed notation
Poaceae (<40 Âµm),Poaceae,removed notation,Poaceae,removed notation
Poaceae (<50 Âµm),Poaceae,removed notation,Poaceae,removed notation
Poaceae (>40 Âµm),Poaceae,removed notation,Poaceae,removed notation
Poaceae (>50 Âµm),Poaceae,removed notation,Poaceae,removed notation
Poaceae >60m,Poaceae,removed notation,Poaceae,removed notation
Poaceae 2-pores,Poaceae,removed notation,Poaceae,removed notation
Poaceae undif.,Poaceae,removed notation,Poaceae,removed notation
Podocarpaceae,Podocarpaceae,,Podocarpaceae,
Podocarpaceae undiff.,Podocarpaceae,removed notation,Podocarpaceae,removed notation
Podocarpus,Podocarpus,,Podocarpus,
Polgonum,Polygonum,spelling,Polygonum,spelling
Polygala,Polygala,,Polygala,
Polygonaceae,Polygonaceae,,Polygonaceae,
Polygonum,Polygonum,,Polygonum,
POLYPODIACEAE,Polypodiaceae,,Polypodiaceae,
Polypodiaceae,Polypodiaceae,,Polypodiaceae,
Polypodiales,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Polypodium,Polypodium,,Polypodium,
Polyscias,Polyscias,,Polyscias,
Portulaceae,Portulacaceae,spelling,Portulacaceae,spelling
Potamogeton,Potamogeton,,Potamogeton,
Potamogeton comp.,Potamogeton,removed notation,Potamogetonaceae,aggregated up
Premna comp.,Premna,removed notation,Lamiaceae,aggregated up
PROTEACEAE,Proteaceae,,Proteaceae,
Proteaceae,Proteaceae,,Proteaceae,
Prumnopitys ferruginea,Pectinopitys ferruginea,synonym,Pectinopitys ferruginea,synonym
Prumnopitys taxifolia,Prumnopitys taxifolia,,Prumnopitys taxifolia,
Pseudodiphasium volubile,Lycopodium volubile,synonym,Lycopodium volubile,synonym
Pseudopanax arboreus,Neopanax arboreus,synonym,Neopanax arboreus,synonym
Psidium guava,Psidium guajava,spelling,Psidium guajava,spelling
Psilotum,Psilotum,,Psilotum,
Psychotira,Psychotria,spelling,Psychotria,spelling
Psychotria,Psychotria,,Psychotria,
Psychotria Type 1,Psychotria,removed notation,Rubiaceae,aggregated up
Psychotria Type 2,Psychotria,removed notation,Rubiaceae,aggregated up
Pteridaceae,Pteridaceae,,Pteridaceae,
Pteridium,Pteridium,,Pteridium,
Pteridium esculentum,Pteridium esculentum,,Pteridium esculentum,
Pteris,Pteris,,Pteris,
Pteris berteroana,Pteris berteroana,,Pteris berteroana,
Pteris tremula,Pteris tremula,,Pteris tremula,
Pyrrosia,Pyrrosia,,Pyrrosia,
Quintinia,Quintinia,,Quintinia,
Quintinia comp.,Quintinia,removed notation,Paracryphiaceae,aggregated up
Randia,Randia,,Randia,
Ranunculaceae,Ranunculaceae,,Ranunculaceae,
Ranunculus,Ranunculus,,Ranunculus,
Rapanea,Myrsine,synonym,Myrsine,synonym
Rauvolfia,Rauvolfia,,Rauvolfia,
Rhamnaceae,Rhamnaceae,,Rhamnaceae,
Rhamnaceae undiff.,Rhamnaceae,removed notation,Rhamnaceae,removed notation
Rhizophora,Rhizophora,,Rhizophora,
RHIZOPHORACEAE,Rhizophoraceae,,Rhizophoraceae,
Rhizophoraceae,Rhizophoraceae,,Rhizophoraceae,
Rhopalostylis sapida,Rhopalostylis sapida,,Rhopalostylis sapida,
Rhus,Rhus,,Rhus,
Rosaceae,Rosaceae,,Rosaceae,
Rosaceae undiff.,Rosaceae,removed notation,Rosaceae,removed notation
Round Hairy Spore,remove,uncertain type,remove,uncertain type
RUBIACEAE,Rubiaceae,,Rubiaceae,
Rubiaceae,Rubiaceae,,Rubiaceae,
RUBIACEAE ?,Rubiaceae,removed notation,remove,uncertainty greater than family level
Rubiaceae 3c loose weave,Rubiaceae,removed notation,Rubiaceae,removed notation
Rubiaceae undif.,Rubiaceae,removed notation,Rubiaceae,removed notation
Rubiaceae undiff.,Rubiaceae,removed notation,Rubiaceae,removed notation
Rubus comp.,Rubus,removed notation,Rosaceae,aggregated up
Rumex,Rumex,,Rumex,
Rumex sp.,Rumex,removed notation,Rumex,removed notation
Rutaceae,Rutaceae,,Rutaceae,
RUTACEAE ?,Rutaceae,removed notation,remove,uncertainty greater than family level
Rutaceae undiff.,Rutaceae,removed notation,Rutaceae,removed notation
Salacia,Salacia,,Salacia,
SAPINDACEAE,Sapindaceae,,Sapindaceae,
Sapindaceae,Sapindaceae,,Sapindaceae,
SAPINDACEAE Sync. Type,Sapindaceae,removed notation,remove,uncertainty greater than family level
Sapindaceae undif.,Sapindaceae,removed notation,Sapindaceae,removed notation
SAPOTACEAE,Sapotaceae,,Sapotaceae,
Sapotaceae,Sapotaceae,,Sapotaceae,
Sapotaceae undif.,Sapotaceae,removed notation,Sapotaceae,removed notation
Saurauia,Saurauia,,Saurauia,
Scaevola,Scaevola,,Scaevola,
Scaevola comp.,Scaevola,removed notation,Goodeniaceae,aggregated up
Scaevola taccada,Scaevola taccada,,Scaevola taccada,
Schefflera,Schefflera,,Schefflera,
Schefflera comp.,Schefflera,removed notation,Araliaceae,aggregated up
Schefflera sim.,Schefflera,removed notation,Araliaceae,aggregated up
Schizaea,Schizaea,,Schizaea,
Schoenus,Schoenus,,Schoenus,
Selaginella,Selaginella,,Selaginella,
Selaginella kraussiana,Selaginella kraussiana,,Selaginella kraussiana,
Selaginella sp.,Selaginella,removed notation,Selaginella,removed notation
Sigesbeckia orientalis,Sigesbeckia orientalis,,Sigesbeckia orientalis,
SIMAROUBACEAE,Simaroubaceae,,Simaroubaceae,
Sloanea,Sloanea,,Sloanea,
Smilax?,Smilax,removed notation,Smilacaceae,aggregated up
SOLANACEAE,Solanaceae,,Solanaceae,
Solanaceae,Solanaceae,,Solanaceae,
Solanaceae undif.,Solanaceae,removed notation,Solanaceae,removed notation
Solanum,Solanum,,Solanum,
Solanum type,Solanum,removed notation,Solanaceae,aggregated up
Sonchus cf. S. asper,Sonchus asper,removed notation,Sonchus,aggregated up
Sonchus cf. S. kirkii,Sonchus kirkii,removed notation,Sonchus,aggregated up
SONNERATICEAE,Lythraceae,synonym,Lythraceae,synonym
Sophora,Sophora,,Sophora,
Sophora tomentosa,Sophora tomentosa,,Sophora tomentosa,
Soulamia Type,Soulamea,spelling and removed notation,Simaroubaceae,aggregated up
Spathodea Type,Spathodea,removed notation,Bignoniaceae,aggregated up
Spermatophyta undiff.,remove,uncertain type,remove,uncertain type
Spermatophyta undiff. (aquatics),remove,uncertain type,remove,uncertain type
Sphaerostephanos,Thelypteris,synonym,Thelypteris,synonym
Sphenomeris Type,Sphenomeris,removed notation,Lindsaeaceae,aggregated up
Spikey Trilete,remove,uncertain type,remove,uncertain type
Stachytarpheta,Stachytarpheta,,Stachytarpheta,
Stenochlaena,Stenochlaena,,Stenochlaena,
STERCULICEAE,Malvaceae,synonym,Malvaceae,synonym
Streblus,Streblus,,Streblus,
Sum unknown,remove,not pollen/spore,remove,not pollen/spore
Symplocos,Symplocos,,Symplocos,
Syzygium,Syzygium,,Syzygium,
Syzygium comp.,Syzygium,removed notation,Myrtaceae,aggregated up
Tapeinosperma,Tapeinosperma,,Tapeinosperma,
Tapeinosperma Type,Tapeinosperma,removed notation,Primulaceae,aggregated up
Terminalia,Terminalia,,Terminalia,
Terminalia Type?,Terminalia,removed notation,Combretaceae,aggregated up
Terminalia</i> Type?,Terminalia,removed notation,Combretaceae,aggregated up
Thelypteridaceae,Aspleniaceae,synonym,Aspleniaceae,synonym
Tiliaceae undif.,Malvaceae,synonym and removed notation,Malvaceae,synonym
Tiliaceae?,Malvaceae,synonym and removed notation,remove,uncertainty greater than family level
Timonius,Timonius,,Timonius,
Total,remove,not pollen/spore,remove,not pollen/spore
Tournefortia comp.,Tournefortia,removed notation,Boraginaceae,aggregated up
Treeferns,remove,uncertain type,remove,uncertainty greater than family level
Trema,Trema,,Trema,
Trema ?,Trema,removed notation,Cannabaceae,aggregated up
Trema sp.,Trema,removed notation,Trema,removed notation
Trema/Moraceae/Celtis,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Trifolium,Trifolium,,Trifolium,
Trilete Psilate,remove,uncertain type,remove,uncertain type
Trilete spore undif.,remove,uncertain type,remove,uncertain type
Trilete spores,remove,uncertain type,remove,uncertain type
Triletes,remove,uncertain type,remove,uncertain type
Triletes Other,remove,uncertain type,remove,uncertain type
Triumfetta,Triumfetta,,Triumfetta,
Triumfetta sp.,Triumfetta,removed notation,Malvaceae,aggregated up
Turrillia,Kermadecia,synonym,Kermadecia,synonym
Type 10,remove,uncertain type,remove,uncertain type
Type 100,remove,uncertain type,remove,uncertain type
Type 101,remove,uncertain type,remove,uncertain type
Type 102,remove,uncertain type,remove,uncertain type
Type 11,remove,uncertain type,remove,uncertain type
Type 13 Simaroubaceae,Simaroubaceae,removed notation,Simaroubaceae,removed notation
Type 15,remove,uncertain type,remove,uncertain type
Type 150,remove,uncertain type,remove,uncertain type
Type 151,remove,uncertain type,remove,uncertain type
Type 152,remove,uncertain type,remove,uncertain type
Type 153,remove,uncertain type,remove,uncertain type
Type 157,remove,uncertain type,remove,uncertain type
Type 158,remove,uncertain type,remove,uncertain type
Type 159,remove,uncertain type,remove,uncertain type
Type 16,remove,uncertain type,remove,uncertain type
Type 160,remove,uncertain type,remove,uncertain type
Type 161,remove,uncertain type,remove,uncertain type
Type 164,remove,uncertain type,remove,uncertain type
Type 165,remove,uncertain type,remove,uncertain type
Type 166,remove,uncertain type,remove,uncertain type
Type 167,remove,uncertain type,remove,uncertain type
Type 168,remove,uncertain type,remove,uncertain type
Type 17,remove,uncertain type,remove,uncertain type
Type 171,remove,uncertain type,remove,uncertain type
Type 18,remove,uncertain type,remove,uncertain type
Type 19,remove,uncertain type,remove,uncertain type
Type 2,remove,uncertain type,remove,uncertain type
Type 23,remove,uncertain type,remove,uncertain type
Type 24,remove,uncertain type,remove,uncertain type
Type 25,remove,uncertain type,remove,uncertain type
Type 27,remove,uncertain type,remove,uncertain type
Type 29,remove,uncertain type,remove,uncertain type
Type 30,remove,uncertain type,remove,uncertain type
Type 31,remove,uncertain type,remove,uncertain type
Type 32,remove,uncertain type,remove,uncertain type
Type 33,remove,uncertain type,remove,uncertain type
Type 34,remove,uncertain type,remove,uncertain type
Type 35,remove,uncertain type,remove,uncertain type
Type 36,remove,uncertain type,remove,uncertain type
Type 39,remove,uncertain type,remove,uncertain type
Type 4,remove,uncertain type,remove,uncertain type
Type 41,remove,uncertain type,remove,uncertain type
Type 43,remove,uncertain type,remove,uncertain type
Type 45,remove,uncertain type,remove,uncertain type
Type 48,remove,uncertain type,remove,uncertain type
Type 49,remove,uncertain type,remove,uncertain type
Type 5,remove,uncertain type,remove,uncertain type
Type 50,remove,uncertain type,remove,uncertain type
Type 51,remove,uncertain type,remove,uncertain type
Type 52,remove,uncertain type,remove,uncertain type
Type 53,remove,uncertain type,remove,uncertain type
Type 54,remove,uncertain type,remove,uncertain type
Type 55,remove,uncertain type,remove,uncertain type
Type 56,remove,uncertain type,remove,uncertain type
Type 57,remove,uncertain type,remove,uncertain type
Type 6,remove,uncertain type,remove,uncertain type
Type 61,remove,uncertain type,remove,uncertain type
Type 63,remove,uncertain type,remove,uncertain type
Type 65,remove,uncertain type,remove,uncertain type
Type 66,remove,uncertain type,remove,uncertain type
Type 68,remove,uncertain type,remove,uncertain type
Type 7,remove,uncertain type,remove,uncertain type
Type 71,remove,uncertain type,remove,uncertain type
Type 72,remove,uncertain type,remove,uncertain type
Type 73,remove,uncertain type,remove,uncertain type
Type 74,remove,uncertain type,remove,uncertain type
Type 75,remove,uncertain type,remove,uncertain type
Type 76,remove,uncertain type,remove,uncertain type
Type 77,remove,uncertain type,remove,uncertain type
Type 78,remove,uncertain type,remove,uncertain type
Type 8,remove,uncertain type,remove,uncertain type
Type 80,remove,uncertain type,remove,uncertain type
Type 83,remove,uncertain type,remove,uncertain type
Type 84,remove,uncertain type,remove,uncertain type
Type 85,remove,uncertain type,remove,uncertain type
Type 86,remove,uncertain type,remove,uncertain type
Type 87,remove,uncertain type,remove,uncertain type
Type 89,remove,uncertain type,remove,uncertain type
Type 90,remove,uncertain type,remove,uncertain type
Type 91,remove,uncertain type,remove,uncertain type
Type 96,remove,uncertain type,remove,uncertain type
Type 97,remove,uncertain type,remove,uncertain type
Type 98,remove,uncertain type,remove,uncertain type
Type 99,remove,uncertain type,remove,uncertain type
Type A,remove,uncertain type,remove,uncertain type
Type A Mono,remove,uncertain type,remove,uncertain type
Type A Tri,remove,uncertain type,remove,uncertain type
Type A.1,remove,uncertain type,remove,uncertain type
Type B,remove,uncertain type,remove,uncertain type
Type B Mono,remove,uncertain type,remove,uncertain type
Type C Mono,remove,uncertain type,remove,uncertain type
Type x,remove,uncertain type,remove,uncertain type
Type xvi,remove,uncertain type,remove,uncertain type
Type xxi,remove,uncertain type,remove,uncertain type
Type xxiii Simaroubaceae,Simaroubaceae,removed notation,Simaroubaceae,removed notation
Typef 42,remove,uncertain type,remove,uncertain type
Typha,Typha,,Typha,
Typha angustifolia sim.,Typha angustifolia,removed notation,Typha,aggregated up
Typha latifolia,Typha latifolia,,Typha latifolia,
Typha orientalis,Typha orientalis,,Typha orientalis,
Typha?,Typha,removed notation,Typhaceae,aggregated up
Ulex europaeus,Ulex europaeus,,Ulex europaeus,
Ulmaceae,Ulmaceae,,Ulmaceae,
Umbelliferae comp./ Apium sim.,Apiaceae,synonym and aggregated up,Apiaceae,synonym and aggregated up
Unknown,remove,uncertain type,remove,uncertain type
"Unknown (monolete, psilate)",remove,uncertain type,remove,uncertain type
"Unknown (monolete, type A)",remove,uncertain type,remove,uncertain type
"Unknown (monolete, type B)",remove,uncertain type,remove,uncertain type
Unknown (trilete),remove,uncertain type,remove,uncertain type
"Unknown (trilete, psilate)",remove,uncertain type,remove,uncertain type
Urena,Urena,,Urena,
URTICACEAE,Urticaceae,,Urticaceae,
Urticaceae,Urticaceae,,Urticaceae,
Urticaceae (type 1),Ulmaceae,removed notation,Ulmaceae,removed notation
Urticaceae (type 2),Ulmaceae,removed notation,Ulmaceae,removed notation
Urticaceae/ Moraceae,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Urticaceae/Moraceae,remove,uncertainty greater than family level,remove,uncertainty greater than family level
VERBENACEAE,Verbenaceae,,Verbenaceae,
Verbenaceae,Verbenaceae,,Verbenaceae,
Veronica,Veronica,,Veronica,
Vigna,Vigna,,Vigna,
Violaceae Type,Violaceae,removed notation,remove,uncertainty greater than family level
VIOLACEAE?,Violaceae,removed notation,remove,uncertainty greater than family level
VITACEAE,Vitaceae,,Vitaceae,
Vitaceae,Vitaceae,,Vitaceae,
Vitex lucens,Vitex lucens,,Vitex lucens,
Weinmannia,Weinmannia,,Weinmannia,
Weinmannia sp.,Weinmannia,removed notation,Weinmannia,removed notation
Wickstromea Type,Wikstroemia,spelling and removed notation,Thymelaeaceae,aggregated up
Xanthomyrtus,Xanthomyrtus,,Xanthomyrtus,
Zeridium Type,remove,no taxa found,remove,no taxa found
Zygnema Type,remove,not pollen/spore,remove,not pollen/spore
