"","id","lat","lon","dist","dist_to","distance"
"1","lou",-22.23278,166.55,0,"lou","lou lou"
"2","plu",-22.261461,166.626675,NA,"lou","plu lou"
"3","ano",-20.23932,169.82227,NA,"lou","ano lou"
"4","wai",-36.61015,175.78865,NA,"lou","wai lou"
"5","vol",-17.31,178.17,NA,"lou","vol lou"
"6","bon",-18.0667,178.5333,NA,"lou","bon lou"
"7","tag",-16.8217,-179.939,NA,"lou","tag lou"
"8","yac",-17.258464,-179.510585,NA,"lou","yac lou"
"9","fin",-19.9489,-174.712,NA,"lou","fin lou"
"10","lot",-19.7467,-174.308,NA,"lou","lot lou"
"11","ngo",-18.6647,-174.044,NA,"lou","ngo lou"
"12","ava",-18.697111,-173.988747,NA,"lou","ava lou"
"13","lan",-13.9093,-171.828,NA,"lou","lan lou"
"14","tuk",-27.604,-144.352,NA,"lou","tuk lou"
"15","aro",-27.1865,-109.435,NA,"lou","aro lou"
"16","lou",-22.23278,166.55,8.52081727827952,"plu","lou plu"
"17","plu",-22.261461,166.626675,NA,"plu","plu plu"
"18","ano",-20.23932,169.82227,NA,"plu","ano plu"
"19","wai",-36.61015,175.78865,NA,"plu","wai plu"
"20","vol",-17.31,178.17,NA,"plu","vol plu"
"21","bon",-18.0667,178.5333,NA,"plu","bon plu"
"22","tag",-16.8217,-179.939,NA,"plu","tag plu"
"23","yac",-17.258464,-179.510585,NA,"plu","yac plu"
"24","fin",-19.9489,-174.712,NA,"plu","fin plu"
"25","lot",-19.7467,-174.308,NA,"plu","lot plu"
"26","ngo",-18.6647,-174.044,NA,"plu","ngo plu"
"27","ava",-18.697111,-173.988747,NA,"plu","ava plu"
"28","lan",-13.9093,-171.828,NA,"plu","lan plu"
"29","tuk",-27.604,-144.352,NA,"plu","tuk plu"
"30","aro",-27.1865,-109.435,NA,"plu","aro plu"
"31","lou",-22.23278,166.55,405.592905351438,"ano","lou ano"
"32","plu",-22.261461,166.626675,NA,"ano","plu ano"
"33","ano",-20.23932,169.82227,NA,"ano","ano ano"
"34","wai",-36.61015,175.78865,NA,"ano","wai ano"
"35","vol",-17.31,178.17,NA,"ano","vol ano"
"36","bon",-18.0667,178.5333,NA,"ano","bon ano"
"37","tag",-16.8217,-179.939,NA,"ano","tag ano"
"38","yac",-17.258464,-179.510585,NA,"ano","yac ano"
"39","fin",-19.9489,-174.712,NA,"ano","fin ano"
"40","lot",-19.7467,-174.308,NA,"ano","lot ano"
"41","ngo",-18.6647,-174.044,NA,"ano","ngo ano"
"42","ava",-18.697111,-173.988747,NA,"ano","ava ano"
"43","lan",-13.9093,-171.828,NA,"ano","lan ano"
"44","tuk",-27.604,-144.352,NA,"ano","tuk ano"
"45","aro",-27.1865,-109.435,NA,"ano","aro ano"
"46","lou",-22.23278,166.55,1831.75514374869,"wai","lou wai"
"47","plu",-22.261461,166.626675,NA,"wai","plu wai"
"48","ano",-20.23932,169.82227,NA,"wai","ano wai"
"49","wai",-36.61015,175.78865,NA,"wai","wai wai"
"50","vol",-17.31,178.17,NA,"wai","vol wai"
"51","bon",-18.0667,178.5333,NA,"wai","bon wai"
"52","tag",-16.8217,-179.939,NA,"wai","tag wai"
"53","yac",-17.258464,-179.510585,NA,"wai","yac wai"
"54","fin",-19.9489,-174.712,NA,"wai","fin wai"
"55","lot",-19.7467,-174.308,NA,"wai","lot wai"
"56","ngo",-18.6647,-174.044,NA,"wai","ngo wai"
"57","ava",-18.697111,-173.988747,NA,"wai","ava wai"
"58","lan",-13.9093,-171.828,NA,"wai","lan wai"
"59","tuk",-27.604,-144.352,NA,"wai","tuk wai"
"60","aro",-27.1865,-109.435,NA,"wai","aro wai"
"61","lou",-22.23278,166.55,1334.24992899883,"vol","lou vol"
"62","plu",-22.261461,166.626675,NA,"vol","plu vol"
"63","ano",-20.23932,169.82227,NA,"vol","ano vol"
"64","wai",-36.61015,175.78865,NA,"vol","wai vol"
"65","vol",-17.31,178.17,NA,"vol","vol vol"
"66","bon",-18.0667,178.5333,NA,"vol","bon vol"
"67","tag",-16.8217,-179.939,NA,"vol","tag vol"
"68","yac",-17.258464,-179.510585,NA,"vol","yac vol"
"69","fin",-19.9489,-174.712,NA,"vol","fin vol"
"70","lot",-19.7467,-174.308,NA,"vol","lot vol"
"71","ngo",-18.6647,-174.044,NA,"vol","ngo vol"
"72","ava",-18.697111,-173.988747,NA,"vol","ava vol"
"73","lan",-13.9093,-171.828,NA,"vol","lan vol"
"74","tuk",-27.604,-144.352,NA,"vol","tuk vol"
"75","aro",-27.1865,-109.435,NA,"vol","aro vol"
"76","lou",-22.23278,166.55,1334.82445567767,"bon","lou bon"
"77","plu",-22.261461,166.626675,NA,"bon","plu bon"
"78","ano",-20.23932,169.82227,NA,"bon","ano bon"
"79","wai",-36.61015,175.78865,NA,"bon","wai bon"
"80","vol",-17.31,178.17,NA,"bon","vol bon"
"81","bon",-18.0667,178.5333,NA,"bon","bon bon"
"82","tag",-16.8217,-179.939,NA,"bon","tag bon"
"83","yac",-17.258464,-179.510585,NA,"bon","yac bon"
"84","fin",-19.9489,-174.712,NA,"bon","fin bon"
"85","lot",-19.7467,-174.308,NA,"bon","lot bon"
"86","ngo",-18.6647,-174.044,NA,"bon","ngo bon"
"87","ava",-18.697111,-173.988747,NA,"bon","ava bon"
"88","lan",-13.9093,-171.828,NA,"bon","lan bon"
"89","tuk",-27.604,-144.352,NA,"bon","tuk bon"
"90","aro",-27.1865,-109.435,NA,"bon","aro bon"
"91","lou",-22.23278,166.55,1539.19466023287,"tag","lou tag"
"92","plu",-22.261461,166.626675,NA,"tag","plu tag"
"93","ano",-20.23932,169.82227,NA,"tag","ano tag"
"94","wai",-36.61015,175.78865,NA,"tag","wai tag"
"95","vol",-17.31,178.17,NA,"tag","vol tag"
"96","bon",-18.0667,178.5333,NA,"tag","bon tag"
"97","tag",-16.8217,-179.939,NA,"tag","tag tag"
"98","yac",-17.258464,-179.510585,NA,"tag","yac tag"
"99","fin",-19.9489,-174.712,NA,"tag","fin tag"
"100","lot",-19.7467,-174.308,NA,"tag","lot tag"
"101","ngo",-18.6647,-174.044,NA,"tag","ngo tag"
"102","ava",-18.697111,-173.988747,NA,"tag","ava tag"
"103","lan",-13.9093,-171.828,NA,"tag","lan tag"
"104","tuk",-27.604,-144.352,NA,"tag","tuk tag"
"105","aro",-27.1865,-109.435,NA,"tag","aro tag"
"106","lou",-22.23278,166.55,1560.95773932942,"yac","lou yac"
"107","plu",-22.261461,166.626675,NA,"yac","plu yac"
"108","ano",-20.23932,169.82227,NA,"yac","ano yac"
"109","wai",-36.61015,175.78865,NA,"yac","wai yac"
"110","vol",-17.31,178.17,NA,"yac","vol yac"
"111","bon",-18.0667,178.5333,NA,"yac","bon yac"
"112","tag",-16.8217,-179.939,NA,"yac","tag yac"
"113","yac",-17.258464,-179.510585,NA,"yac","yac yac"
"114","fin",-19.9489,-174.712,NA,"yac","fin yac"
"115","lot",-19.7467,-174.308,NA,"yac","lot yac"
"116","ngo",-18.6647,-174.044,NA,"yac","ngo yac"
"117","ava",-18.697111,-173.988747,NA,"yac","ava yac"
"118","lan",-13.9093,-171.828,NA,"yac","lan yac"
"119","tuk",-27.604,-144.352,NA,"yac","tuk yac"
"120","aro",-27.1865,-109.435,NA,"yac","aro yac"
"121","lou",-22.23278,166.55,1961.39914648726,"fin","lou fin"
"122","plu",-22.261461,166.626675,NA,"fin","plu fin"
"123","ano",-20.23932,169.82227,NA,"fin","ano fin"
"124","wai",-36.61015,175.78865,NA,"fin","wai fin"
"125","vol",-17.31,178.17,NA,"fin","vol fin"
"126","bon",-18.0667,178.5333,NA,"fin","bon fin"
"127","tag",-16.8217,-179.939,NA,"fin","tag fin"
"128","yac",-17.258464,-179.510585,NA,"fin","yac fin"
"129","fin",-19.9489,-174.712,NA,"fin","fin fin"
"130","lot",-19.7467,-174.308,NA,"fin","lot fin"
"131","ngo",-18.6647,-174.044,NA,"fin","ngo fin"
"132","ava",-18.697111,-173.988747,NA,"fin","ava fin"
"133","lan",-13.9093,-171.828,NA,"fin","lan fin"
"134","tuk",-27.604,-144.352,NA,"fin","tuk fin"
"135","aro",-27.1865,-109.435,NA,"fin","aro fin"
"136","lou",-22.23278,166.55,2007.22823185718,"lot","lou lot"
"137","plu",-22.261461,166.626675,NA,"lot","plu lot"
"138","ano",-20.23932,169.82227,NA,"lot","ano lot"
"139","wai",-36.61015,175.78865,NA,"lot","wai lot"
"140","vol",-17.31,178.17,NA,"lot","vol lot"
"141","bon",-18.0667,178.5333,NA,"lot","bon lot"
"142","tag",-16.8217,-179.939,NA,"lot","tag lot"
"143","yac",-17.258464,-179.510585,NA,"lot","yac lot"
"144","fin",-19.9489,-174.712,NA,"lot","fin lot"
"145","lot",-19.7467,-174.308,NA,"lot","lot lot"
"146","ngo",-18.6647,-174.044,NA,"lot","ngo lot"
"147","ava",-18.697111,-173.988747,NA,"lot","ava lot"
"148","lan",-13.9093,-171.828,NA,"lot","lan lot"
"149","tuk",-27.604,-144.352,NA,"lot","tuk lot"
"150","aro",-27.1865,-109.435,NA,"lot","aro lot"
"151","lou",-22.23278,166.55,2061.11333001022,"ngo","lou ngo"
"152","plu",-22.261461,166.626675,NA,"ngo","plu ngo"
"153","ano",-20.23932,169.82227,NA,"ngo","ano ngo"
"154","wai",-36.61015,175.78865,NA,"ngo","wai ngo"
"155","vol",-17.31,178.17,NA,"ngo","vol ngo"
"156","bon",-18.0667,178.5333,NA,"ngo","bon ngo"
"157","tag",-16.8217,-179.939,NA,"ngo","tag ngo"
"158","yac",-17.258464,-179.510585,NA,"ngo","yac ngo"
"159","fin",-19.9489,-174.712,NA,"ngo","fin ngo"
"160","lot",-19.7467,-174.308,NA,"ngo","lot ngo"
"161","ngo",-18.6647,-174.044,NA,"ngo","ngo ngo"
"162","ava",-18.697111,-173.988747,NA,"ngo","ava ngo"
"163","lan",-13.9093,-171.828,NA,"ngo","lan ngo"
"164","tuk",-27.604,-144.352,NA,"ngo","tuk ngo"
"165","aro",-27.1865,-109.435,NA,"ngo","aro ngo"
"166","lou",-22.23278,166.55,2065.86319115795,"ava","lou ava"
"167","plu",-22.261461,166.626675,NA,"ava","plu ava"
"168","ano",-20.23932,169.82227,NA,"ava","ano ava"
"169","wai",-36.61015,175.78865,NA,"ava","wai ava"
"170","vol",-17.31,178.17,NA,"ava","vol ava"
"171","bon",-18.0667,178.5333,NA,"ava","bon ava"
"172","tag",-16.8217,-179.939,NA,"ava","tag ava"
"173","yac",-17.258464,-179.510585,NA,"ava","yac ava"
"174","fin",-19.9489,-174.712,NA,"ava","fin ava"
"175","lot",-19.7467,-174.308,NA,"ava","lot ava"
"176","ngo",-18.6647,-174.044,NA,"ava","ngo ava"
"177","ava",-18.697111,-173.988747,NA,"ava","ava ava"
"178","lan",-13.9093,-171.828,NA,"ava","lan ava"
"179","tuk",-27.604,-144.352,NA,"ava","tuk ava"
"180","aro",-27.1865,-109.435,NA,"ava","aro ava"
"181","lou",-22.23278,166.55,2465.00140638613,"lan","lou lan"
"182","plu",-22.261461,166.626675,NA,"lan","plu lan"
"183","ano",-20.23932,169.82227,NA,"lan","ano lan"
"184","wai",-36.61015,175.78865,NA,"lan","wai lan"
"185","vol",-17.31,178.17,NA,"lan","vol lan"
"186","bon",-18.0667,178.5333,NA,"lan","bon lan"
"187","tag",-16.8217,-179.939,NA,"lan","tag lan"
"188","yac",-17.258464,-179.510585,NA,"lan","yac lan"
"189","fin",-19.9489,-174.712,NA,"lan","fin lan"
"190","lot",-19.7467,-174.308,NA,"lan","lot lan"
"191","ngo",-18.6647,-174.044,NA,"lan","ngo lan"
"192","ava",-18.697111,-173.988747,NA,"lan","ava lan"
"193","lan",-13.9093,-171.828,NA,"lan","lan lan"
"194","tuk",-27.604,-144.352,NA,"lan","tuk lan"
"195","aro",-27.1865,-109.435,NA,"lan","aro lan"
"196","lou",-22.23278,166.55,4961.28132277408,"tuk","lou tuk"
"197","plu",-22.261461,166.626675,NA,"tuk","plu tuk"
"198","ano",-20.23932,169.82227,NA,"tuk","ano tuk"
"199","wai",-36.61015,175.78865,NA,"tuk","wai tuk"
"200","vol",-17.31,178.17,NA,"tuk","vol tuk"
"201","bon",-18.0667,178.5333,NA,"tuk","bon tuk"
"202","tag",-16.8217,-179.939,NA,"tuk","tag tuk"
"203","yac",-17.258464,-179.510585,NA,"tuk","yac tuk"
"204","fin",-19.9489,-174.712,NA,"tuk","fin tuk"
"205","lot",-19.7467,-174.308,NA,"tuk","lot tuk"
"206","ngo",-18.6647,-174.044,NA,"tuk","ngo tuk"
"207","ava",-18.697111,-173.988747,NA,"tuk","ava tuk"
"208","lan",-13.9093,-171.828,NA,"tuk","lan tuk"
"209","tuk",-27.604,-144.352,NA,"tuk","tuk tuk"
"210","aro",-27.1865,-109.435,NA,"tuk","aro tuk"
"211","lou",-22.23278,166.55,8349.57269353528,"aro","lou aro"
"212","plu",-22.261461,166.626675,NA,"aro","plu aro"
"213","ano",-20.23932,169.82227,NA,"aro","ano aro"
"214","wai",-36.61015,175.78865,NA,"aro","wai aro"
"215","vol",-17.31,178.17,NA,"aro","vol aro"
"216","bon",-18.0667,178.5333,NA,"aro","bon aro"
"217","tag",-16.8217,-179.939,NA,"aro","tag aro"
"218","yac",-17.258464,-179.510585,NA,"aro","yac aro"
"219","fin",-19.9489,-174.712,NA,"aro","fin aro"
"220","lot",-19.7467,-174.308,NA,"aro","lot aro"
"221","ngo",-18.6647,-174.044,NA,"aro","ngo aro"
"222","ava",-18.697111,-173.988747,NA,"aro","ava aro"
"223","lan",-13.9093,-171.828,NA,"aro","lan aro"
"224","tuk",-27.604,-144.352,NA,"aro","tuk aro"
"225","aro",-27.1865,-109.435,NA,"aro","aro aro"
