"","Cal_yrs_BP","Ilex","Podocarpus","Rutaceae undiff.","Casuarinaceae","Arytera","Calophyllum","Embelia","Endospermum","Homalium","Mallotus","Homalanthus","Palaquium","Turrillia","Acronychia comp.","Eleocharis comp.","Medinilla comp.","Neonauclea comp.","Scaevola comp.","Hymenophyllum","Apiaceae","Asteraceae","Polygonum","Freycinetia","Geniostoma","Pandanus","Plerandra","Myrtaceae (type 1)","Cunoniaceae (dicolpate)","Cunoniaceae (tricolpate)","Unknown (monolete, type B)","Poaceae","Rapanea","Bischofia","Dysoxylum","Metrosideros","Ascarina","Blechnum comp.","Unknown (trilete)","Lycopodium","Polypodium","Acalypha","Cyatheaceae","Parasponia","Dicksonia","Ulmaceae","Macaranga","Urticaceae (type 1)","Dicranopteris","Urticaceae (type 2)","Maesa","Elaeocarpus","Agathis","Psychotria","Baccaurea","Fabaceae (type 1)","Fabaceae (type 2)","Lygodium","Alphitonia","Arecaceae","Lepironia comp.","Unknown (monolete, type A)","Melochia","Haloragis sim.","Malvaceae","Aleurites","Dodonaea","Polygala","Garcinia","Euphorbiaceae undiff.","Cyperaceae (type 1)","Rubus comp.","Clematis","Melastomataceae","Randia","Calycosia","Collospermum","Myrtaceae (type 3)","Planchonella","Sphaerostephanos","Schefflera comp.","Solanaceae","Glochidion","Symplocos","Jasminum","Guioa","Cleistocalyx","Euodia","Dacrydium","Timonius","Myrtaceae (type 2)","Pteridaceae","Antirhea","Rhamnaceae undiff.","Commersonia","Dolicholobium","Balanops","Claoxylon","Melicope","Coprosma","Epacrideae","Dillenia","Fagraea","Gonocarpus","Myrtaceae (type 4)","Parinari comp.","Araliaceae undiff.","Heritiera","Ixora","Tapeinosperma","Saurauia","Ophiorrhiza","Pisonia comp.","Ardisia","Neuburgia","Mussaenda","Pemphis comp.","Quintinia comp.","Elattostachys","Rosaceae undiff.","Polyscias","Myristica","Potamogeton comp.","Leea","Rubiaceae undiff.","Pittosporum","Phaleria","Amaranthaceae","Streblus","ageolder","ageyounger"
"28",5635,6,6,0,1,0,8,1,2,1,0,6,0,2,0,0,0,0,5,4,0,0,0,21,2,101,1,10,1,3,1,0,11,1,0,4,6,11,0,6,4,0,81,0,0,0,2,0,19,2,0,4,0,0,0,0,4,3,0,19,3,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,2,1,0,0,42,0,1,0,0,0,37,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6422,4740
"29",5846,3,4,0,0,0,2,2,0,1,0,4,0,0,0,0,0,0,1,3,0,0,0,18,0,115,7,28,4,6,0,0,23,0,0,4,8,5,0,2,3,0,75,0,0,0,2,0,9,1,0,8,0,2,0,1,5,0,0,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,5,0,0,3,3,0,0,39,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6590,4958
"30",6054,1,11,0,0,0,13,5,0,2,0,5,1,1,0,0,0,0,1,4,0,0,0,24,0,147,7,15,1,2,0,0,10,2,0,1,8,12,0,6,4,0,150,0,0,0,8,0,28,0,2,0,0,2,0,0,6,0,3,20,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,16,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6751,5196
"31",6261,3,10,0,1,0,5,1,0,1,0,3,1,3,0,0,0,3,0,3,0,0,0,14,0,128,10,18,1,2,0,0,10,2,1,1,16,22,0,10,3,0,340,0,0,0,8,1,31,1,1,1,0,0,0,1,3,2,0,12,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,3,0,0,30,0,3,0,0,0,17,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6906,5439
"32",6469,3,18,0,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,3,0,29,2,4,2,4,0,0,5,2,0,4,6,8,0,1,2,0,36,0,0,0,2,1,7,0,0,4,0,0,0,0,3,0,0,14,1,0,0,7,0,0,0,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0,20,0,0,0,0,0,87,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7068,5687
"33",6675,7,0,0,0,0,0,1,0,1,0,7,0,1,0,3,0,0,0,3,0,0,0,3,0,34,5,11,1,5,0,0,9,3,1,0,8,7,0,11,3,0,73,0,4,0,3,0,17,0,4,2,0,0,0,2,1,0,2,5,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,91,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7214,5969
"34",6886,5,6,0,2,0,4,0,1,0,0,7,0,0,0,0,0,0,0,3,0,0,0,1,0,90,1,12,2,6,0,1,4,3,0,1,15,16,0,6,3,0,69,0,0,0,7,7,19,1,3,5,0,3,0,1,8,1,1,23,38,3,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,4,0,0,0,0,0,5,0,0,0,4,0,0,19,0,1,0,0,0,30,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,7360,6252
"35",7091,5,25,0,0,0,3,1,1,2,0,3,1,0,1,0,0,0,0,2,0,0,0,4,0,136,5,18,1,3,0,5,8,1,0,2,21,13,0,12,2,1,88,0,0,2,3,2,20,0,1,2,0,0,0,6,2,0,0,20,67,4,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,2,0,0,19,0,3,0,0,0,14,0,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7480,6581
"36",7301,5,6,0,2,0,1,1,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,15,0,151,5,7,1,5,0,2,11,0,2,0,34,1,3,27,0,0,152,0,0,1,8,6,25,0,1,6,0,0,0,0,3,0,2,28,42,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,0,2,0,0,0,2,0,0,10,1,0,0,0,0,16,0,2,2,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7604,6990
"37",7677,5,5,0,1,0,6,3,0,0,0,10,1,0,0,0,0,0,1,2,0,0,0,8,0,54,5,7,0,0,1,1,5,4,0,0,19,6,0,54,2,0,47,0,0,0,13,2,10,2,0,0,0,1,0,0,5,1,0,71,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,0,0,3,0,0,8,0,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,8373,7212
"38",8087,2,5,0,1,0,4,2,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,3,0,25,2,2,0,6,0,0,7,4,0,0,11,9,0,44,1,0,33,0,0,1,10,4,2,0,1,4,0,0,0,6,6,1,0,58,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,4,0,0,11,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8924,7438
"39",8530,1,5,0,2,0,3,1,1,0,0,4,1,1,0,0,0,1,1,1,0,0,0,5,1,29,1,0,0,0,0,0,5,2,0,0,10,7,0,8,1,1,24,0,1,2,5,8,5,0,0,2,0,0,0,0,0,4,0,75,14,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,1,6,0,0,0,0,0,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9428,7718
"40",8962,2,6,0,1,0,3,6,1,1,0,6,1,0,0,0,0,1,0,1,1,0,0,7,0,915,4,3,0,3,0,1,6,2,1,0,12,9,0,14,1,0,22,0,0,4,8,12,4,4,6,4,0,0,0,3,0,0,0,56,7,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,5,0,1,0,0,0,20,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9799,8071
"41",9366,1,5,0,1,0,4,2,0,6,2,3,1,1,0,0,0,2,1,1,0,0,0,5,0,65,7,5,1,4,0,0,11,4,0,0,14,3,0,121,0,2,21,0,4,4,6,4,8,3,3,1,0,0,0,0,0,1,0,67,3,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,7,0,1,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10108,8480
"42",9773,0,2,0,1,0,2,2,0,2,0,12,0,0,0,0,0,0,3,1,0,0,0,6,0,91,3,3,0,0,1,1,11,3,0,0,11,5,0,2,1,0,16,0,0,2,6,13,4,2,2,1,0,2,0,1,3,0,0,85,36,5,0,2,0,0,0,0,0,0,21,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,8,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10365,8980
"43",10195,0,3,0,2,0,2,3,0,1,0,4,0,0,0,0,0,1,2,1,0,0,0,6,0,20,3,3,0,2,1,0,1,7,0,0,15,4,0,2,1,2,17,0,2,6,9,65,13,12,0,5,0,0,0,1,8,0,2,19,33,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,1,0,0,8,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10610,9771
"44",10751,1,2,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,106,4,3,3,4,1,1,3,1,0,0,36,0,0,4,1,0,74,0,0,2,7,30,23,5,2,8,0,1,0,4,14,2,0,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,2,0,2,0,0,0,1,0,0,16,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,11723,10072
"45",11307,3,24,0,0,0,5,7,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,27,0,164,5,6,5,9,0,0,10,3,0,0,48,6,0,18,0,0,28,0,0,3,6,7,12,1,2,6,0,0,1,1,0,0,1,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,12416,10367
"46",11866,1,17,0,0,0,1,1,0,4,1,3,0,0,0,0,0,0,1,3,0,0,0,24,3,152,6,2,2,3,3,2,6,2,1,0,50,2,0,31,3,0,36,0,0,2,1,8,7,3,2,6,0,0,0,1,1,0,0,35,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,2,0,3,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,12965,10694
"47",12437,6,15,0,2,0,0,3,1,5,0,5,0,1,0,0,0,0,2,0,0,0,0,152,3,53,5,3,8,15,3,0,9,4,0,0,36,5,0,70,0,0,35,0,0,0,3,0,9,2,0,5,0,0,0,1,4,1,0,29,6,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,5,0,0,1,8,0,0,4,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,13376,11111
"48",13002,2,5,0,0,0,2,4,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,54,0,14,0,2,10,7,0,1,6,4,0,0,40,4,0,35,0,0,17,0,0,1,7,16,5,4,1,4,1,1,0,1,4,1,0,16,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,2,0,5,0,0,0,0,0,0,8,0,0,0,9,0,11,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13698,11581
"49",13541,1,1,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,9,1,3,4,11,3,4,0,0,8,3,0,1,45,1,0,27,0,0,9,0,0,0,4,2,2,4,1,1,0,0,0,3,4,1,0,16,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,5,0,0,2,0,0,0,0,0,41,0,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,13952,11950
"50",13787,1,5,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,4,10,9,0,3,4,4,0,1,45,0,0,8,0,0,24,0,0,0,4,3,1,4,1,3,0,2,0,2,7,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,41,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14444,12108
"51",14044,2,4,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,15,0,0,4,7,5,7,0,0,9,3,1,0,43,0,0,2,2,0,10,0,0,0,5,5,1,1,1,5,0,1,0,4,5,0,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,1,0,9,0,0,0,0,0,57,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,14855,12304
"52",14290,0,8,0,2,0,1,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,36,0,1,3,3,7,8,0,2,6,12,0,1,18,2,0,31,1,1,41,0,0,0,0,15,6,2,0,3,1,1,0,3,6,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,10,0,0,0,0,0,40,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15184,12458
"53",14541,3,7,0,0,0,2,5,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,15,0,0,7,15,14,11,0,2,7,1,0,0,47,2,0,5,0,0,56,0,0,2,6,4,0,3,1,3,0,0,0,3,8,0,0,6,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15510,12659
"54",14792,1,6,0,0,0,1,9,1,0,0,0,2,1,0,0,0,0,2,1,1,0,0,140,0,12,1,3,1,7,5,2,10,9,0,0,37,1,0,51,2,0,40,0,0,1,10,3,7,6,1,0,0,0,0,1,7,0,0,27,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,7,2,0,8,0,0,0,1,0,14,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15843,12803
"55",15040,4,3,1,0,0,0,4,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,117,1,105,3,5,2,10,0,5,12,7,0,0,38,6,0,50,0,0,36,0,0,2,3,7,10,2,2,0,0,0,1,5,4,0,0,38,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,5,0,3,0,1,0,3,0,14,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16115,12987
"56",15291,0,27,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,1,3,8,1,8,5,1,0,0,54,13,0,10,2,3,81,0,0,3,2,11,4,5,3,12,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0,3,0,0,0,2,0,10,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,16420,13118
"57",15602,0,38,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,8,2,1,0,4,1,7,1,6,6,13,0,0,44,8,0,10,1,1,46,0,0,3,3,8,2,5,1,3,4,0,2,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,3,2,0,0,0,0,0,0,0,14,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,5,1,0,0,0,2,16773,13447
"58",15949,1,64,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,0,2,0,6,1,14,0,1,9,5,1,0,26,5,0,396,0,0,14,0,0,1,7,10,0,4,3,7,2,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17131,14121
"59",16321,0,55,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,1,1,0,8,2,1,9,4,0,0,42,10,0,16,1,1,33,0,0,2,1,10,1,4,3,2,3,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,6,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,17492,14758
"60",16694,1,69,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,0,14,1,0,6,1,3,2,3,0,0,50,9,0,17,0,0,41,0,0,0,1,3,0,4,2,1,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17857,15326
"61",17062,0,106,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,7,2,1,0,3,1,4,0,0,2,1,0,0,40,1,0,7,0,0,21,0,0,0,0,5,2,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,7,0,1,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18177,15807
