"","Cal_yrs_BP","min","max","Pinus","Microsorum","Pteris berteroana","Dodonaea viscosa","Marattiaceae","Hypolepis","Dryopteridaceae/Polypodiaceae","Ludwigia","Bryophyta/Marchantiophyta","Myrtaceae","Spermatophyta undiff.","Urticaceae/Moraceae","Poaceae (>40 µm)","Poaceae (<40 µm)","Dicranopteris linearis","Lycopodiella cernua","Cyperaceae","Unknown (monolete, psilate)","Unknown (trilete, psilate)","Commelina","Cyathea","Pandanus tectorius","Phyllanthus","Euphorbiaceae undiff.","Asteroideae","Homalanthus cf. H. stokesii","Sophora tomentosa","Sonchus cf. S. asper","Colocasia esculenta","Histiopteris incisa","Amaranthaceae","Plantago","Malvaceae undiff.","Coprosma","Arecaceae incertae sedis","Erythrina variegata","Celtis","Cyclophyllum barbatum","Convolvulaceae","Meryta","Acalypha","Freycinetia sp.","Psychotria","Triumfetta","Foraminifera","Haloragaceae","Casuarina","Myoporum rapense","Veronica","Scaevola taccada"
"1",-32.4,-40.1,-24.7,1,1,1,2,2,2,2,4,4,6,7,8,11,16,24,30,38,45,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-12.7,-22.9,-2.5,2,1,3,0,2,3,1,0,1,0,0,1,4,35,155,2,39,23,24,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",20,7.7,32.3,0,1,5,0,0,2,2,1,4,0,1,0,29,44,78,7,83,25,11,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",52.7,39.8,65.6,0,1,0,0,1,5,0,0,1,0,0,0,32,49,20,0,142,21,13,0,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",85.4,73.3,97.5,2,0,1,0,2,0,5,0,3,1,0,1,74,101,21,4,46,13,4,0,2,17,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",118.1,108.4,127.8,0,0,0,0,1,13,3,0,4,0,2,5,2,32,4,3,50,69,24,1,1,81,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",150.7,148.7,152.7,1,0,1,1,0,12,7,0,1,1,5,1,2,64,5,1,18,63,20,1,0,81,0,0,2,0,0,0,5,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",243.5,205.3,281.7,0,0,0,0,6,9,3,0,7,2,1,4,23,111,7,7,21,46,24,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",336.3,273.3,399.3,0,2,0,0,4,4,1,0,3,0,5,14,2,20,0,3,96,18,10,0,0,111,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",429.3,342.6,516,0,0,0,0,0,17,2,0,1,0,1,0,5,34,0,2,10,14,14,0,0,190,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",479.8,402.2,557.4,0,0,0,0,0,30,5,0,1,1,3,1,0,56,0,0,7,24,15,0,0,135,0,2,0,3,0,0,10,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"12",530.5,462.2,598.8,0,3,0,0,3,11,3,0,7,0,1,0,0,25,1,0,16,16,22,0,0,183,0,1,0,1,0,0,2,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"13",581.2,522,640.4,0,1,2,0,0,9,3,0,0,0,2,0,0,15,0,0,4,10,17,0,0,232,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",632,581.7,682.3,2,0,0,0,0,5,1,0,1,0,2,1,0,19,0,0,2,10,12,0,0,238,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"15",686.5,629.3,743.7,0,0,1,0,1,3,0,0,3,1,2,1,0,17,0,2,10,14,17,0,0,223,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"16",741,677,805,2,0,1,0,1,2,0,0,2,5,0,10,0,12,1,0,4,5,13,0,1,197,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,2,3,0,0,0,0,0,0,0
"17",795.5,724.8,866.2,0,0,3,0,4,14,2,0,0,2,0,1,1,7,0,0,12,25,26,0,1,113,83,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"18",1370,1206.8,1533.2,0,0,0,0,4,2,0,0,0,5,9,6,0,1,2,2,10,7,52,0,3,101,2,2,1,0,80,0,0,0,0,0,0,0,0,0,1,0,0,3,6,0,0,1,2,0,0,0,0,0
"19",2167.6,2155.4,2179.8,1,0,0,0,2,3,1,0,0,48,5,2,0,6,0,0,4,9,71,0,1,130,1,0,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,1,4,1,0,0,0,2,0,0,0,0
"20",2245.3,2226.4,2264.2,5,0,1,0,11,12,0,0,0,18,5,2,0,4,0,0,4,23,76,0,5,119,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,7,0,0,1,1,1,1,0,0,0
"21",2323,2313.2,2332.8,0,0,0,0,19,8,0,0,6,4,2,3,1,9,1,1,21,25,76,0,11,93,4,0,0,3,2,0,0,0,0,0,0,0,2,0,2,0,0,0,3,1,0,0,0,0,0,3,0,0
"22",2990.1,2786.8,3193.4,0,0,1,0,30,11,0,0,5,44,10,12,0,8,0,5,8,16,57,0,11,31,9,0,0,1,7,0,0,1,0,0,0,0,3,0,0,0,0,2,27,1,0,0,6,0,0,0,0,0
"23",3657.2,3380.2,3934.2,2,0,5,0,17,9,0,0,5,5,1,2,0,0,0,1,3,8,90,0,15,112,3,1,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,5,6,0,0,2,0,0,0,0,2,0
"24",4324.1,3998.2,4650,5,0,0,1,8,3,0,0,2,3,7,5,1,5,0,0,6,10,96,0,32,81,6,0,0,0,2,0,0,0,0,0,1,0,11,0,1,0,0,0,10,3,0,1,0,0,0,0,0,0
"25",4990.8,4630.2,5351.4,0,2,3,0,26,5,1,0,1,11,3,0,2,4,0,3,5,24,127,0,19,40,5,0,1,0,1,0,0,1,0,0,0,1,5,0,0,0,0,3,5,1,0,1,15,0,0,0,0,0
"26",5657.6,5272.5,6042.7,3,2,2,0,38,10,0,0,0,6,0,3,0,7,0,1,8,28,106,0,10,53,2,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0,1,10,0,0,1,4,0,0,0,0,0
"27",6324.6,5923.8,6725.4,0,1,5,0,36,5,0,0,1,17,9,0,0,1,0,1,1,12,126,0,38,24,0,0,0,1,0,0,0,4,0,0,0,1,5,0,0,0,0,3,4,0,0,5,4,0,0,0,0,0
"28",6991.8,6583,7400.6,4,0,2,0,46,2,1,0,4,10,5,0,0,1,0,1,6,17,149,0,0,18,0,0,0,1,0,0,0,1,2,0,1,1,1,0,5,0,0,1,18,0,0,2,0,0,0,0,0,1
"29",7659.3,7250,8068.6,0,0,1,0,27,2,0,0,1,4,6,0,0,0,0,0,0,10,150,0,23,18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
"30",8250.2,7763.8,8736.6,0,1,4,0,20,5,0,0,4,4,12,2,0,0,0,1,2,15,151,0,47,23,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
