"","Cal_yrs_BP","min","max","Apocynaceae","Canarium","Canavalia Type","Coprosma","Cunoniaceae","Dacrycarpus","Dilleniaceae","Elaeocarpus?","Ilex","Malvaceae- other","Meliaceae","Myrtaceae","Palms","Podocarpus","Rhamnaceae","Rubiaceae","Rutaceae","Sapindaceae","Sapotaceae","Terminalia Type?","Acryanthes","Araliaceae","Arytera Type","Casuarina","Dodonea","Legumes","Lonicera Type?","Macaranga/Mallotus","Moraceae","Neonauclea Type?","Olacaceae 6p triangle","Pandandus tectorius Type","Pandanus","Pandanus krauliensis Type","Proteaceae","Psychotria","Trema","Type 13 Simaroubaceae","Alternanthera","Amaranthaceae","Apiacaeae","Asteraceae Type A","Asteraceae Type B","Euphorbia ?","Plantago","Poaceae &gt;70 um","Portulaceae","Hypolepis","Polypodiaceae","Treeferns","Triletes Other","Blechnum","Monolete Other","Monolete Psilate","Pteridium","Calycosia","Poaceae","Homalanthus/Exocoaria","Rhizophoraceae","Barringtoniaceae","Cyperaceae","Metroxylon","Nymphoides indica","Ranunculaceae","Typha","Indeterminate 3C3P","Indeterminate Other","Type 11","Damaged/Crumpled"
"1",-21,-45,22,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,5,0,0,0,3,0,0,0,0,1,0,0,0,0,0,14,0,24,0,0,0,0,1,2,0,44,7,0,0,0,0,4,0,30,29,7,5,26,2,0,31,1,0,0,23,0,6,0,0,24,0,0,15.8
"2",78,-37,292,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,42,0,0,0,0,33,4,0,18,0,0,0,1,0,11,4,11,8,11,2,7,2,0,22,1,0,0,27,0,7,0,4,6,0,0,19
"3",202,15,444,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,14,0,0,0,0,16,5,0,23,0,0,0,0,0,4,9,29,13,6,5,2,3,0,74,3,0,2,14,0,4,35,2,5,0,0,7
"4",443,212,704,0,0,0,0,0,0,0,0,0,1,0,3,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,22,0,49,0,0,0,0,10,4,0,17,0,0,0,0,0,1,8,15,8,1,0,18,0,0,45,5,0,1,8,0,6,0,0,11,1,0,10
"5",723,562,1013,0,0,0,0,0,0,0,0,0,1,0,1,21,0,0,0,12,2,1,0,0,0,0,2,0,2,0,0,0,0,0,33,0,26,0,0,0,0,0,6,0,8,0,0,0,0,0,0,15,11,6,1,1,15,2,0,34,28,0,0,11,0,12,2,1,16,1,0,6
"6",1334,815,2084,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,25,0,57,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,8,3,3,1,24,0,0,51,13,0,0,5,0,10,0,0,10,2,0,21
"7",1950,1220,2833,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,3,13,1,0,0,0,0,0,5,0,0,0,0,0,0,0,35,0,39,0,0,2,0,17,2,0,0,0,0,0,0,0,2,13,1,12,1,11,11,1,0,32,0,0,0,10,0,10,0,5,18,0,0,16
"8",2549,1708,3389,0,0,0,0,0,0,0,0,0,0,1,2,13,1,0,0,5,2,0,0,0,0,0,2,0,0,0,2,0,0,0,33,0,31,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,7,4,0,8,11,0,0,31,23,0,0,10,0,6,0,1,18,2,0,32
"9",2846,2006,3638,0,0,0,0,0,0,1,0,0,1,0,1,12,2,0,2,2,0,0,0,0,0,0,5,0,3,0,0,0,1,0,50,0,26,0,0,6,0,0,0,0,0,0,0,1,0,0,0,23,19,0,0,19,13,1,0,33,12,0,0,5,0,4,0,1,20,1,0,22
"10",3134,2346,3869,0,0,0,0,0,0,0,0,0,0,4,0,15,1,0,2,10,0,0,0,0,0,0,6,0,0,1,4,0,0,0,51,0,17,1,0,8,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,8,6,0,0,53,27,0,0,4,0,3,0,0,14,1,14,2
"11",3635,2914,4167,0,0,0,0,0,0,0,5,2,0,1,1,3,0,0,2,3,0,0,0,0,0,0,9,0,0,0,3,0,2,0,24,0,6,0,0,5,0,0,2,0,0,0,0,0,0,1,0,42,10,2,0,18,9,0,0,46,30,0,0,10,8,3,0,0,23,1,14,17
"12",3762,3052,4277,1,0,0,0,0,3,2,0,0,9,15,0,2,2,0,7,0,2,0,0,0,0,0,40,0,2,0,0,2,5,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,90,0,6,0,23,7,0,0,11,208,0,0,0,35,21,0,0,8,1,0,3
"13",3883,3247,4314,5,0,0,0,0,0,0,0,0,12,10,0,3,4,0,10,0,2,0,0,0,0,0,41,1,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,120,0,7,0,54,20,0,0,19,215,0,1,0,36,28,0,0,16,0,0,7
"14",4065,3431,4434,3,0,0,0,5,3,5,1,0,5,9,4,3,0,0,4,17,1,0,3,0,3,3,18,2,0,4,75,2,35,0,4,6,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,19,1,4,0,38,10,0,0,4,53,1,1,4,16,54,2,0,24,0,0,0
"15",4167,3727,4461,7,0,0,0,0,0,0,0,0,11,9,0,4,3,0,4,1,0,0,0,0,0,0,36,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,59,0,8,0,18,13,0,0,7,134,0,0,0,22,45,0,0,45,1,0,9
"16",4321,3964,4555,4,0,0,0,0,4,0,0,0,12,9,0,3,1,0,9,0,2,0,0,0,0,0,42,0,0,0,5,0,0,0,0,4,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,29,0,6,0,5,18,0,0,3,46,0,0,0,11,48,0,0,20,0,0,11
"17",4424,4087,4667,1,1,0,0,3,0,2,4,1,5,3,3,4,2,0,6,10,0,1,1,0,1,11,21,1,0,1,32,4,23,0,8,5,0,0,2,0,1,0,0,2,13,0,0,1,0,0,0,35,1,3,0,20,11,0,0,7,48,0,0,6,11,43,3,0,56,0,0,16
"18",4524,4208,4762,9,0,0,0,0,1,1,0,0,3,2,1,1,1,0,2,1,1,0,4,0,0,0,13,0,0,0,3,1,6,0,0,2,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,16,0,4,0,2,10,0,0,3,26,0,0,2,4,40,0,0,21,1,0,4
"19",4588,4307,4807,4,0,0,0,0,0,0,0,0,6,6,0,3,0,2,0,1,0,0,3,0,0,0,12,0,0,1,2,0,4,0,0,3,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,13,0,9,0,4,10,0,1,2,7,0,2,16,2,33,0,0,35,2,0,9
"20",4631,4359,4862,9,0,0,1,0,0,0,6,0,3,4,3,4,2,0,9,0,0,0,5,0,0,0,16,0,0,2,4,1,27,0,10,5,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,27,0,8,0,20,12,0,0,8,26,0,0,30,4,66,2,0,42,0,0,12
"21",4692,4452,4900,5,0,0,0,0,0,3,0,0,5,1,0,2,0,1,0,2,1,1,60,0,0,0,8,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,26,0,4,0,3,12,0,0,5,77,0,0,3,21,20,0,0,12,0,0,3
"22",4781,4590,4968,0,0,0,0,0,0,3,0,0,4,1,0,0,2,1,1,0,0,0,118,0,0,0,7,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,0,21,0,7,25,0,1,0,26,0,1,1,6,1,0,0,9,0,0,3
"23",4853,4668,5046,0,0,0,0,1,0,1,1,0,3,1,2,2,0,0,4,3,0,0,83,0,0,0,4,0,0,0,8,1,4,0,4,3,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,23,0,4,0,0,22,0,0,7,12,0,1,3,2,7,1,0,75,0,0,5
"24",4931,4738,5100,0,0,0,0,0,1,1,0,0,2,1,0,2,1,0,2,0,0,0,16,0,0,0,4,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,28,0,8,0,0,29,0,0,0,21,0,1,1,3,0,3,0,31,2,0,5
"25",4983,4769,5184,3,0,0,1,3,0,3,0,3,51,5,2,0,0,0,6,18,0,0,89,0,2,0,10,0,0,0,2,0,16,0,9,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,23,0,14,0,6,27,0,5,2,19,0,0,1,5,2,1,0,42,1,0,15
"26",5018,4799,5211,4,0,0,0,0,0,1,0,0,7,5,0,7,0,0,10,2,0,0,95,0,1,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,23,0,29,0,1,32,0,0,3,38,0,0,1,1,10,0,0,32,0,0,10
"27",5070,4854,5271,6,0,4,1,0,2,3,0,30,4,6,1,13,1,0,7,4,0,4,43,0,0,0,21,0,0,1,8,0,24,1,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,10,0,32,24,0,0,8,84,0,5,2,1,0,1,0,25,2,0,27
"28",5119,4900,5307,5,0,0,0,0,0,0,0,0,3,4,0,8,2,0,11,0,0,0,6,0,1,0,6,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,19,0,2,41,0,1,1,51,0,0,0,2,1,0,0,30,2,0,7
"29",5152,4918,5348,2,2,3,0,1,2,0,0,35,2,3,1,10,2,0,1,7,0,3,16,0,1,0,19,0,0,0,10,1,46,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,27,0,23,42,0,0,4,39,0,0,1,1,0,2,0,54,0,0,16
"30",5184,4948,5370,1,0,0,0,0,0,4,0,0,5,3,0,15,5,0,7,0,0,0,12,0,0,0,13,0,0,0,9,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,14,0,5,21,0,0,0,41,0,1,0,2,0,0,0,31,0,0,10
"31",5231,4985,5426,4,0,0,0,0,0,1,0,19,10,2,2,17,1,0,0,4,0,9,4,0,1,0,19,0,0,0,20,4,26,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,0,19,19,0,0,2,65,0,0,0,0,0,0,0,26,1,0,10
"32",5284,5039,5460,3,1,0,0,0,0,3,0,0,2,0,2,60,2,0,2,3,0,0,6,0,0,0,17,0,2,0,4,0,5,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,16,0,6,29,0,0,0,57,0,0,0,0,0,2,0,39,1,0,14
"33",5344,5086,5533,2,0,0,0,0,0,1,0,0,5,4,0,5,4,0,2,0,0,0,2,0,0,0,6,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,6,7,0,0,0,71,0,0,0,0,0,0,0,23,0,0,2
"34",5381,5111,5589,2,0,0,1,0,0,1,0,10,2,1,2,0,0,0,0,12,0,3,4,0,0,0,6,0,0,0,14,1,28,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,15,17,0,20,1,115,0,1,0,0,0,0,0,25,0,0,8
"35",5441,5166,5669,5,0,0,0,0,0,1,0,0,2,2,0,8,1,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,11,0,6,16,0,0,0,62,0,0,0,0,0,0,0,20,1,0,9
"36",5500,5219,5747,2,0,0,0,0,0,0,0,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,10,5,0,0,0,53,0,0,0,0,0,0,0,11,0,0,5
"37",5523,5244,5769,0,0,0,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,6,0,0,0,0,5,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,9,4,0,0,1,39,0,0,0,0,0,0,0,22,0,0,1
"38",5558,5276,5819,2,0,0,0,0,0,0,0,0,4,3,1,6,0,0,3,0,0,1,3,0,0,0,19,0,1,0,0,0,6,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,17,0,1,5,0,1,0,124,0,0,0,0,0,0,0,17,1,0,3
"39",5734,5451,6018,1,1,0,0,0,0,0,0,19,1,1,2,1,0,0,0,0,0,5,5,0,1,0,7,0,1,0,5,1,12,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,14,0,33,27,0,0,1,75,0,0,3,0,0,0,0,49,1,0,12
"40",5849,5581,6149,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,1,10,0,0,0,13,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,64,0,1,0,0,0,0,0,12,0,0,0
"41",5966,5701,6265,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,2,3,0,0,0,36,0,1,0,0,0,0,0,9,0,0,1
