"","Cal_yrs_BP","Dodonaea","Euphorbia","Amaranthaceae","Trifolium","Calystegia","Coprosma","Dacrydium cupressinum","Cordyline","Apium prostratum","Aspleniaceae","Eleocharis","Geranium retrorsum group","Ulex europaeus","Asteroideae undiff.","Juncus","Coriaria","Unknown (monolete, psilate)","Cyathea","Sonchus cf. S. kirkii","Anthoceros","Callitriche","Bryophyta/Marchantiophyta","Carex","Pteridium esculentum","Pinus","Poaceae (>50 µm)","Poaceae (<50 µm)","Myriophyllum","Typha orientalis","Fuscospora","Ophioglossum","Lycopodium scariosum","Pteris tremula","Selaginella kraussiana","Rumex","Brassicaceae","Spermatophyta undiff.","Ranunculus","cf. Hydrocotyle","Dacrycarpus dacrydioides","Psilotum","Paesia","Histiopteris incisa","Bryosporis problematicus","Prumnopitys ferruginea","Microsorum","Schizaea","Veronica","Haloragis","Leptospermum","Metrosideros","Podocarpaceae undiff.","Urticaceae","Sigesbeckia orientalis","Fabaceae undiff.","Phyllocladus","Rhopalostylis sapida","Polygonum","Pseudopanax arboreus","Hymenophyllaceae","Blechnaceae","Phormium","Pellaea","Solanum","Oxalis","Muehlenbeckia","Ascarina lucida","Hypolepis","Cyperus","Pittosporum","Melicytus","Colocasia","Lycopodiella lateralis","Nestegis","Freycinetia","Sophora","Thelypteridaceae","Pyrrosia","Prumnopitys taxifolia","Piper","Libocedrus","Knightia","Dicksonia","Vitex lucens","Laurelia","Agathis australis","Liliaceae","Myrsine","Elaeocarpus","Melicope","Weinmannia","Geniostoma","Olearia colensoi","Phlegmariurus varius","Aristotelia","Myoporum","Astelia","Syzygium","Parsonsia","Neomyrtus-type","cf. Quintinia","ageolder","ageyounger"
"1",-58.5,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,7,9,9,11,11,20,22,55,80,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52.5,-64.5
"2",-25.9,0,0,0,1,0,0,0,0,0,0,20,0,0,3,0,0,6,3,8,6,11,10,97,15,29,4,153,1,1,1,1,1,1,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.3,-36.5
"3",6.9,0,0,0,5,3,0,4,0,4,3,3,2,0,8,0,6,13,19,7,34,1,47,22,80,14,4,73,0,2,0,4,0,4,0,0,2,0,1,1,1,1,1,1,1,2,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,3
"4",42.3,1,0,0,0,0,0,4,0,0,0,2,1,0,0,0,3,5,20,6,26,1,0,55,133,0,0,19,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,6,1,1,1,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,27.9
"5",78.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,9,7,34,0,15,2,202,0,0,51,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,6,1,1,6,0,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7,58.7
"6",114.1,1,0,0,0,0,0,0,2,0,0,3,0,0,1,0,8,11,11,4,43,1,30,2,136,0,0,43,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,6,1,3,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.6,91.6
"7",150.1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,6,31,16,8,35,0,23,21,157,0,0,60,0,2,2,1,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,2,1,3,1,0,6,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.9,126.3
"8",186,0,0,0,0,0,0,6,0,0,0,1,0,0,2,0,4,8,28,6,22,0,11,23,226,0,0,10,0,2,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.1,161.9
"9",221.9,0,0,0,0,0,1,7,1,0,1,0,0,0,0,0,1,46,13,11,30,0,24,25,166,0,0,17,0,2,0,0,0,2,0,0,2,0,0,1,0,0,2,1,0,0,4,1,1,13,0,1,0,1,8,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.2,198.6
"10",257.8,0,0,0,0,0,0,6,0,0,0,2,0,0,1,0,3,21,25,9,26,0,15,30,147,0,0,1,0,3,0,0,0,4,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.9,236.7
"11",293.7,0,0,0,0,0,0,4,4,0,0,2,1,0,0,0,2,23,16,3,23,0,17,25,237,0,0,11,0,1,0,0,1,1,0,0,0,1,0,0,0,0,3,2,1,1,2,0,0,3,0,0,2,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.8,276.6
"12",327.2,0,0,0,0,0,0,2,1,0,0,2,0,0,1,0,2,17,13,2,11,0,7,48,192,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.4,315
"13",351.2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,19,50,38,7,38,0,8,59,325,0,0,3,0,5,0,1,1,4,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,3,0,0,0,2,2,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.9,335.5
"14",375.2,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,3,20,17,2,15,0,10,24,227,0,0,1,0,7,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,6,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.4,357
"15",399.2,0,0,0,0,0,1,12,0,0,1,0,4,0,0,0,20,28,50,10,82,0,9,47,239,0,0,0,0,5,0,1,0,6,0,0,0,1,0,0,1,0,4,4,0,1,4,1,0,7,0,2,0,7,5,0,1,4,7,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.5,378.9
"16",423,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,3,36,8,2,21,0,23,39,167,0,0,0,0,17,1,1,1,1,0,0,3,0,0,0,0,0,0,1,2,0,1,1,0,5,0,2,0,0,0,0,0,4,9,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.4,401.6
"17",446.3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,2,17,12,2,6,0,0,40,52,0,0,0,0,39,0,0,0,3,0,0,2,0,0,0,0,0,1,3,1,0,8,0,2,0,0,40,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.6,427
"18",469.6,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,36,15,1,5,0,4,89,53,0,0,0,0,42,1,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,4,0,1,1,0,10,1,11,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486.4,452.8
"19",492.9,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,5,25,7,1,3,0,0,22,124,0,0,6,0,86,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,4,3,0,11,0,0,1,0,1,3,0,0,0,16,3,0,0,0,0,0,0,33,1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.5,479.3
"20",610.8,0,0,1,0,0,4,9,7,3,0,0,0,0,0,0,0,33,19,1,0,0,2,16,101,0,0,1,0,50,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,5,13,2,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706.7,514.9
"21",1107.1,0,0,1,0,0,3,64,10,1,1,0,0,0,0,0,5,6,27,0,3,0,0,9,35,0,0,1,0,20,4,0,0,1,0,0,0,6,0,0,2,3,0,0,0,1,7,0,6,0,2,176,6,2,0,0,5,10,0,0,0,16,3,0,0,0,2,1,0,21,3,0,0,0,3,1,0,0,0,1,1,1,1,1,2,3,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328.7,885.6
"22",1603.4,0,0,0,0,0,0,69,5,0,0,0,0,0,1,0,1,18,35,0,0,0,0,40,5,0,0,0,0,13,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,26,0,2,86,9,0,0,0,1,8,0,0,0,0,11,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1880.4,1326.3
"23",2099.5,0,0,0,0,0,5,121,4,0,3,27,0,0,1,0,9,9,27,0,0,0,0,17,40,0,0,2,0,13,7,0,1,4,0,0,0,5,0,0,0,2,0,0,0,3,2,0,20,0,0,90,19,2,0,0,5,13,0,2,0,13,12,0,0,0,1,0,0,17,1,1,0,0,6,0,0,2,0,3,1,2,0,0,2,3,2,8,2,0,1,1,1,1,1,0,0,0,0,0,0,0,2403.7,1795.3
"24",3092.2,0,0,0,0,0,9,53,22,0,0,1,0,0,1,0,6,8,24,0,0,0,0,22,5,0,0,4,0,0,4,0,0,4,0,0,0,9,0,0,1,2,0,0,0,4,3,0,11,0,11,82,15,1,0,0,4,15,0,0,0,4,1,0,1,0,0,3,0,10,4,0,0,0,11,0,0,0,0,0,0,0,0,0,1,5,4,4,0,0,0,2,2,0,0,2,2,0,0,0,0,0,3389.3,2795
"25",4084.5,0,0,0,0,0,10,44,9,1,0,0,0,0,0,0,2,1,6,0,0,0,0,5,1,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,8,0,3,255,7,3,0,0,6,6,0,0,0,5,8,0,0,0,2,1,0,4,0,0,0,0,8,0,0,0,1,0,1,0,0,0,1,4,3,0,1,0,1,3,0,0,0,1,1,1,1,1,2,0,4274,3895.1
"26",4686.3,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,1,8,30,0,0,0,0,6,1,0,0,0,0,0,4,0,1,4,0,0,0,1,0,0,1,3,0,0,0,4,2,0,1,0,0,32,7,2,0,1,3,18,0,0,3,17,0,0,0,0,1,4,0,2,18,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,2,6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4782.8,4589.8
"27",5028,1,1,0,0,0,6,97,0,1,0,0,0,0,0,0,5,20,89,0,0,0,0,30,0,0,0,1,0,0,7,1,1,11,0,0,0,8,0,1,0,2,0,0,0,1,1,0,7,0,0,192,7,1,0,0,5,17,0,0,0,5,0,0,0,0,2,6,0,4,13,0,0,0,10,0,1,0,0,1,0,0,0,2,7,0,4,4,0,0,7,0,1,0,0,3,4,1,0,0,0,0,5180.6,4875.4
"28",5369.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5567.5,5172.1
