"","Cal_yrs_BP","min","max","Anacardiaceae","Apocynaceae","Araliaceae","Bignoniaceae","Cunoniaceae","Dilleniaceae","Elaeocarpus?","Flacourtiaceae","Glochidion","Meliaceae","Myrsineaceae","Myrtaceae","Palms","Proteaceae","Rhamnaceae","Rosaceae","Rubiaceae","Rubiaceae 3c loose weave","Rutaceae","Sapindaceae","Sapotaceae","Tiliaceae?","Type xxiii Simaroubaceae","Agathis","Arytera </i>Type","Ascarina","Bischofia","Calophyllum ?","Canavalia</i> Type","Hedycarya</i> Type","Ilex","Inocarpus </i>3C?","Medusanthera T?","Podocarpus","Psychotria","Psychotria Type 1","Psychotria Type 2","Rapanea","Smilax?","Terminalia</i> Type?","Zeridium Type","3cp 25-30um Araliaceae?","3cp zonorate","Dodonea","Euphorbiaceae","Gardenia","Other Malvaceae","Piperaceae","Austrobuxus </i>Type","Casuarina","Ixora?","Macaranga/Mallotus","Mallotus","Neonauclea</i> Type?","Trema/Moraceae/Celtis","Amaranthaceae","Asteraceae","Brassicaceae Type","Caryophyllaceae","Chenopodiaceae","Alternanthera","gemmate monolete","Marattiaceae","Polypodiaceae","Spikey Trilete","Treeferns","Triletes Other","Hypolepis","Apiaceae","Cucurbitaceae","Legumes","Poaceae","Poaceae &gt;70 um","Portulaceae","Ranunculaceae","Violaceae Type","Acryanthes","Lonicera</i> Type?","Nertera</i> Type","Plantago","Monolete Other","Monolete Psilate","NCSS32 Type","Blechnum","Lycopodium","Pteridium","Selaginella","Rhizophoraceae","Barringtoniaceae","Cyperaceae","Haloragaceae","Melastomataceae","Homalanthus/Exocaria","Metroxylon","Nymphoides indica","Pandandus tectorius","Pandanus</i> Type","Typha","Damaged/Crumpled","Indeterminate 3C3P","Indeterminate Other","Type 4","Type 6","Type x","Type xvi","Type xxi","Onagraceae"
"1",-37,-50,-12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,25,0,0,8,0,38,0,0,0,51,29,0,0,1,0,1,0,1,0,1,6,0,0,0,0,38,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,28,2,0,4,0,0,10,0,0,22,20,2,0,0,0,0,0,143
"2",335,139,578,0,0,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,4,0,4,0,0,120,0,0,0,0,26,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,1,18,0,0,12,0,6,29,0,0,23,14,0,0,0,0,0,0,5
"3",593,334,873,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,3,0,0,2,0,6,0,0,1,2,5,0,8,0,4,85,0,0,0,0,61,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,10,0,0,0,0,9,50,0,0,19,17,2,11,0,0,0,0,0
"4",728,451,1019,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,5,0,0,1,0,2,0,3,0,0,35,0,0,0,0,175,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,4,0,0,8,0,12,29,0,0,0,4,0,19,0,0,0,0,0
"5",858,570,1147,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,19,0,0,0,0,217,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,41,0,10,20,0,0,2,6,0,7,0,0,0,0,0
"6",987,688,1281,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,0,3,0,0,70,0,0,0,0,112,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,96,0,13,7,0,0,1,4,2,5,0,0,0,0,0
"7",1116,820,1403,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,3,0,3,0,0,1,0,1,0,0,0,0,0,0,4,0,0,45,0,0,0,0,146,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,89,0,0,2,0,0,0,7,0,14,0,0,0,0,0
"8",1245,948,1523,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,3,0,0,0,0,2,0,0,1,0,0,0,10,0,0,23,0,0,0,0,95,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,66,1,0,1,0,0,1,8,0,36,0,0,0,0,0
"9",1371,1079,1641,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,85,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,36,0,0,35,0,0,12,0,0,18,63,0,11,0,0,0,0,0
"10",1498,1215,1754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,61,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,4,0,12,0,0,0,0,0
"11",1631,1373,1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,6,0,0,0,0,5,0,1,0,1,1,0,0,0,6,0,0,2,0,0,0,0,71,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"12",1890,1698,2072,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,0,0,221,0,0,0,1,0,0,27,0,0,0,0,0,0,0
"13",2006,1798,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,10,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,3,0,0,1,0,0,0,0
"14",2122,1902,2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,1,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,18,0,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,200,0,1,0,0,0,0,20,0,3,0,0,0,0,0
"15",2240,2012,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,390,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"16",2355,2113,2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,450,0,0,0,0,0,3,9,0,0,0,0,0,0,0
"17",2468,2241,2658,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,4,0,0,0,2,0,0,12,0,0,9,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,600,0,0,0,0,0,0,7,7,0,0,0,0,0,0
"18",2584,2370,2752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,10,0,3,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,454,0,0,0,0,0,0,2,0,0,11,0,0,0,0
"19",2701,2514,2843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,2,0,3,0,9,0,0,0,0
"20",2836,2614,3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"21",2971,2736,3325,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,9,5,0,16,0,0,0,0
"22",3073,2811,3453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,1,0,0,287,0,0,0,0,0,8,18,0,0,0,0,0,0,0
"23",3446,3111,3875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,5,0,0,11,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,331,0,0,0,0,0,4,12,0,0,0,0,0,0,0
"24",4010,3596,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,2,10,2,0,0,0,0,0,0
"25",4384,3928,4938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,1,0,7,0,0,4,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,361,0,0,1,0,0,0,9,0,0,0,0,0,0,0
"26",4944,4431,5556,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,2,0,0,2,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"27",5324,4775,5972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,2,0,0,6,0,0,3,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,2,16,0,0,0,0,0,0,0
"28",5884,5286,6576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28,0,0,0,3,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,5,2,0,0,0,0,0,0,0
"29",6262,5623,6993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,1,11,0,0,0,0,0,0,0
"30",6825,6165,7611,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,5,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,37,1,0,0,0,0,0,0
"31",7202,6522,8036,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,35,0,0,0,0,0,0,0
